Var1,Var2
0,2.90703244206774
1,3.02121623843782
2,3.11698711340206
3,3.18515402061856
4,3.23926673490276
5,3.28497737603306
6,3.32305251798561
7,3.35540713547053
8,3.38205415384615
9,3.40241403508772
10,3.41822109053498
11,3.43119040247678
12,3.44168953846154
13,3.45080731958763
14,3.45978735868448
15,3.46863973168215
16,3.47772898252826
17,3.48724860681115
18,3.49756004119464
19,3.5089705338809
20,3.51996131687243
21,3.53081981424149
22,3.54147448559671
23,3.55171553497942
24,3.56186649484536
25,3.57115714285714
26,3.57996732161324
27,3.58814137577002
28,3.59565318930041
29,3.60304633642931
30,3.61006694129763
31,3.61673060388946
32,3.62312385892116
33,3.62934141829394
34,3.63558735868448
35,3.64195179856115
36,3.64820422680412
37,3.65477244582043
38,3.66146971252567
39,3.66854659793814
40,3.67552412371134
41,3.68301390319258
42,3.69063076131687
43,3.69858797533402
44,3.70665159629248
45,3.71503505154639
46,3.72380829068577
47,3.73235766045549
48,3.74103995880536
49,3.75003827160494
50,3.7587624742268
51,3.76781798561151
52,3.77657605779154
53,3.78547897435897
54,3.79456865979381
55,3.80386992790937
56,3.81302608247423
57,3.82278302469136
58,3.83266958762887
59,3.8423742002064
60,3.85154024640657
61,3.86047057613169
62,3.86898343621399
63,3.87700370751802
64,3.88463564049587
65,3.89232225641026
66,3.89932239422085
67,3.90663895169579
68,3.91396920700309
69,3.92129701952723
70,3.92920660474716
71,3.9372628600823
72,3.94602634297521
73,3.95538574358974
74,3.96509835390947
75,3.9754093814433
76,3.98615956790123
77,3.99705397316821
78,4.00791755646817
79,4.01871587628866
80,4.02922371663244
81,4.03890782698249
82,4.048191124871
83,4.05658909465021
84,4.06370698869476
85,4.0696568627451
86,4.07440164778579
87,4.0782464469619
88,4.08159353182751
89,4.08489938080495
90,4.08805689300412
91,4.09190134020619
92,4.09577191358025
93,4.10049969072165
94,4.10610523076923
95,4.11292113402062
96,4.12136065911432
97,4.13189465020576
98,4.14573504624871
99,4.16389111570248
100,4.18332545757072
